index,p_mean,y_rate,n
"(-0.001, 0.0157]",0.01094213196952401,0.011471861471861472,4620
"(0.0157, 0.0255]",0.025153650841197514,0.025624178712220762,1522
"(0.0255, 0.0436]",0.039738030774403924,0.0419921875,3072
"(0.0436, 0.0693]",0.06432528039149495,0.06587473002159827,2778
"(0.0693, 0.132]",0.10468152814536162,0.10594227504244483,2945
"(0.132, 0.197]",0.16479837497653824,0.17519804996953078,3282
"(0.197, 0.249]",0.232321554051919,0.3063844552394171,2882
"(0.249, 0.376]",0.2913331276546687,0.3589108910891089,2424
"(0.376, 0.452]",0.4464901356811513,0.37520606660072536,3033
"(0.452, 0.846]",0.6714908470423065,0.676678445229682,2830
